Code,QueryNodes,ResultSize
115,58 104 267 577 641 764,689
116,26 119 160 240 307 679,618
117,54 137 290 449 461 599,986
118,51 54 81 446 759 918,891
119,92 173 286 492 524 961,986
120,279 345 454 526 678 957,714
121,63 220 278 395 636 1002,986
122,7 217 320 492 769 994,986
123,69 145 360 490 726 735,735
124,233 276 390 498 516 983,854
125,199 228 321 322 468 708,576
126,5 196 319 421 441 596,784
127,211 473 530 749 773 849,986
128,15 147 179 197 279 447,714
129,7 294 416 613 632 886,854
130,44 106 509 536 761 998,986
131,256 268 708 739 758 910,986
132,296 433 809 813 821 959,986
133,62 321 623 716 887 941,986
134,121 181 585 841 843 898,891
135,275 445 594 610 652 776,755
136,39 139 256 611 625 852,817
137,244 356 485 567 578 735,986
138,86 286 323 535 747 919,671
139,88 144 153 184 339 474,618
140,206 389 411 575 888 943,986
141,153 300 337 424 559 955,735
142,63 127 137 376 570 937,735
143,6 270 728 735 833 1004,986
144,26 227 320 385 496 797,817
145,28 272 313 529 589 768,601
146,205 328 357 717 824 1001,986
147,23 115 566 763 928 968,986
148,164 175 206 317 325 976,655
149,163 215 359 603 742 820,986
150,130 152 725 788 911 959,986
151,33 425 607 661 712 902,986
152,5 109 196 302 513 986,854
153,41 109 155 381 401 876,986
154,160 239 451 661 714 841,755
155,458 522 562 570 943 1003,986
156,181 411 665 778 964 993,986
157,294 491 500 849 857 897,986
158,138 452 735 902 938 969,986
159,0 67 619 814 835 837,986
160,230 388 413 836 927 941,986
161,14 20 180 713 914 989,891
162,122 268 355 593 705 1003,986
163,37 171 276 516 529 915,986
164,86 506 527 709 790 869,986
165,68 79 153 465 612 870,854
166,75 208 582 591 680 788,986
167,48 114 239 380 459 690,655
168,217 458 621 676 681 831,986
169,138 210 310 657 734 979,986
170,160 161 198 232 450 736,784
171,255 320 417 707 869 996,986
172,43 122 154 356 737 842,986
173,281 343 479 540 778 993,986
174,31 65 139 225 493 511,527
175,51 182 661 672 864 1000,986
176,25 122 286 294 403 849,755
177,270 272 432 438 586 760,817
178,148 361 851 904 931 945,986
179,100 126 127 337 785 998,986
180,113 177 654 661 747 768,601
181,141 463 482 592 755 984,986
182,90 353 645 745 930 939,854
183,9 53 151 229 263 452,461
184,257 268 348 436 596 677,891
185,474 488 512 536 561 639,986
186,8 286 328 464 956 1002,986
187,66 139 249 712 822 993,986
188,183 305 572 636 693 941,986
189,37 499 513 673 726 930,986
190,171 203 231 614 753 904,986
191,37 63 163 467 479 721,817
192,54 354 420 821 855 910,986
193,162 515 616 734 803 996,986
194,75 361 609 771 822 954,817
195,52 336 434 738 951 969,891
196,162 302 443 787 818 950,986
197,60 308 330 519 540 947,714
198,533 621 841 869 976 986,854
199,24 137 272 299 545 829,817
200,2 45 126 178 835 933,735
201,27 426 434 725 752 885,817
202,148 279 287 587 705 833,735
203,23 132 211 259 452 786,689
204,136 328 344 505 564 906,784
205,65 176 277 533 679 937,735
206,32 246 377 522 579 755,986
207,153 622 857 927 949 968,986
208,57 153 237 549 562 792,986
209,37 101 110 212 293 915,986
210,0 366 662 693 949 991,817
211,14 373 376 420 827 962,986
212,30 62 114 235 312 962,891
213,76 132 171 270 894 933,986
214,130 427 550 575 869 949,755
215,39 523 673 884 898 990,986
216,4 175 369 502 833 991,817
217,236 371 435 635 639 930,784
218,93 140 208 268 752 969,891
219,41 72 217 315 698 720,735
220,0 125 566 820 838 886,891
221,332 528 632 708 785 820,854
222,75 106 557 663 679 809,552
223,45 68 256 452 532 769,854
224,241 323 571 838 991 1004,986
225,55 56 264 380 471 967,784
226,255 401 415 439 454 815,854
227,129 285 318 342 672 855,784
228,196 581 723 743 897 902,986
229,70 85 368 436 822 920,891
230,214 308 483 631 769 859,891
231,82 110 380 513 856 928,986
232,12 353 379 685 981 986,854
233,150 332 593 695 717 944,986
234,300 394 555 671 702 859,891
235,81 233 367 632 641 807,854
236,31 55 255 552 773 869,986
237,197 270 340 440 501 785,817
238,16 187 539 551 856 982,986
239,167 220 849 864 947 984,986
240,97 116 139 145 190 509,576
241,103 125 337 405 666 980,689
242,22 140 386 592 718 800,755
243,64 246 332 669 822 945,854
244,3 151 312 523 766 902,986
245,119 217 284 343 656 881,986
246,96 179 185 347 543 832,576
247,102 243 302 411 579 704,986
248,114 152 395 457 623 771,714
249,148 369 436 564 574 849,854
250,125 266 314 500 528 979,784
251,132 285 492 562 725 933,618
252,105 234 459 480 717 931,714
253,74 162 400 502 525 674,576
254,126 323 437 757 903 950,854
255,127 152 235 591 640 661,714
256,88 230 411 448 547 774,986
257,203 284 296 725 807 881,986
258,166 203 416 435 619 934,854
259,26 245 306 321 466 611,433
260,31 194 598 650 830 849,986
261,67 189 497 664 860 922,689
262,32 67 292 298 839 944,986
263,332 533 622 669 851 949,986
264,130 387 389 477 794 818,891
265,0 71 140 366 403 759,891
266,242 303 494 640 915 1001,986
267,285 501 714 879 900 971,986
268,84 283 433 559 1002 1004,986
269,41 110 298 652 714 858,986
270,33 263 358 756 843 948,986
271,207 437 811 845 942 966,891
272,45 154 280 534 812 933,784
273,250 460 498 609 664 934,817
274,722 723 778 806 835 855,817
275,52 184 313 801 802 948,986
276,98 173 357 451 624 912,784
277,5 169 246 287 710 834,986
278,334 435 516 534 603 605,986
279,440 459 661 854 994 998,986
280,307 318 550 576 791 983,854
281,426 745 750 933 949 962,986
282,36 174 262 312 688 1001,986
283,166 215 235 451 612 647,655
284,29 96 139 263 271 790,986
285,226 276 397 439 641 953,854
286,53 116 276 285 391 416,854
287,79 274 525 527 764 828,689
288,393 430 700 767 787 1001,986
289,259 264 411 963 967 971,784
290,48 61 75 228 388 815,552
291,82 290 438 588 864 971,986
292,177 180 182 197 482 741,784
293,99 497 551 754 759 811,891
294,137 184 470 766 876 991,986
295,487 557 564 719 834 865,986
296,67 84 121 266 471 566,689
297,284 419 427 444 447 899,986
298,18 237 615 636 704 984,986
299,96 113 247 332 527 573,576
300,147 477 487 538 833 961,986
301,55 90 466 789 900 995,986
302,227 251 306 578 730 905,986
303,24 246 372 540 877 995,986
304,460 623 678 696 738 773,986
305,0 74 326 380 472 489,735
306,208 500 556 585 868 896,891
307,81 525 720 763 780 854,986
308,441 523 601 676 768 924,817
309,35 116 199 320 696 980,689
310,363 458 557 689 812 860,891
311,302 482 489 846 934 994,986
312,347 357 521 538 758 940,891
313,22 166 533 579 629 989,891
314,11 163 307 365 562 801,891
315,25 377 405 529 530 796,817
316,127 343 520 644 706 940,891
317,39 138 499 839 860 884,986
318,47 194 400 477 612 923,817
319,80 101 529 594 733 841,755
320,100 159 306 585 820 862,986
321,196 232 243 344 511 593,586
322,231 291 354 390 826 841,755
323,72 96 570 577 789 956,735
324,98 124 185 374 493 839,891
325,36 62 138 216 253 836,817
326,48 108 623 698 948 996,986
327,94 149 192 252 260 818,618
328,252 526 551 621 736 928,986
329,329 431 436 468 723 799,854
330,153 197 445 447 815 910,986
331,16 84 236 404 509 1000,755
332,64 152 157 224 385 857,817
333,37 119 522 566 705 783,854
334,61 176 301 467 799 811,755
335,50 112 113 280 422 866,854
336,12 50 89 254 704 826,986
337,120 165 400 465 559 622,986
338,231 360 726 756 782 815,854
339,20 216 361 659 886 990,986
340,45 106 394 506 549 797,817
341,55 374 575 627 871 949,986
342,192 294 416 515 985 1002,986
343,56 319 343 597 642 932,671
344,322 464 469 534 574 738,817
345,111 616 790 797 930 972,986
346,73 94 196 413 531 905,714
347,21 30 32 313 562 715,784
348,97 159 325 629 650 878,986
349,170 214 288 484 842 917,891
350,421 579 730 903 925 996,986
351,15 73 93 233 337 368,433
352,107 246 391 453 729 911,854
353,47 151 165 289 683 894,986
354,87 136 392 677 806 856,891
355,25 294 438 518 543 752,784
356,309 453 567 864 945 960,986
357,132 247 262 690 736 774,986
358,363 406 444 554 920 943,986
359,47 402 520 827 920 937,986
360,122 437 517 780 783 981,986
361,212 739 740 892 980 989,891
362,63 72 163 260 461 920,891
363,97 395 528 531 547 572,671
364,489 516 625 636 720 809,986
365,18 41 631 674 728 865,891
366,131 375 678 825 901 981,986
367,342 355 741 781 784 987,986
368,357 484 510 579 702 753,891
369,75 295 309 366 526 996,986
370,190 284 324 640 874 914,854
371,119 357 666 671 777 1000,755
372,175 375 532 542 662 736,784
373,52 101 229 735 994 996,986
374,163 300 514 714 816 953,671
375,87 307 662 926 929 988,891
376,176 448 498 613 673 705,986
377,44 94 153 349 840 879,986
378,298 426 649 788 797 931,986
379,87 450 556 574 621 945,854
380,22 88 252 347 626 727,986
381,198 236 361 370 499 562,433
382,305 578 685 821 900 987,986
383,262 333 486 529 965 1002,986
384,206 425 472 702 760 824,986
385,395 407 447 499 792 847,986
386,253 275 328 609 726 830,986
387,36 153 408 700 757 926,854
388,317 421 482 899 941 969,986
389,79 266 371 373 374 629,817
390,157 290 455 639 758 761,986
391,43 294 546 722 915 998,986
392,89 421 537 657 752 807,986
393,39 45 56 158 957 966,891
394,174 423 460 735 964 995,986
395,23 66 99 186 466 748,490
396,118 175 239 316 437 850,891
397,254 325 393 459 727 743,854
398,106 186 602 842 904 922,986
399,124 290 769 861 882 971,986
400,611 639 795 804 839 925,986
401,161 414 557 591 650 667,986
402,50 483 652 854 907 1003,986
403,138 140 211 369 377 767,755
404,134 341 359 405 713 862,986
405,422 444 469 490 609 663,817
406,76 391 407 468 873 990,891
407,34 91 248 442 781 828,854
408,53 116 375 402 558 1001,714
409,45 60 283 460 626 929,986
410,189 427 551 694 790 862,986
411,8 75 410 823 829 903,854
412,91 202 363 598 647 998,986
413,54 276 342 388 556 817,784
414,3 228 260 348 426 974,817
415,45 53 315 345 460 715,784
416,45 68 219 493 655 904,986
417,177 523 586 696 877 980,689
418,148 161 399 734 771 812,714
419,57 285 301 319 548 973,986
420,139 315 492 642 766 843,891
421,396 518 722 727 773 993,986
422,104 383 385 401 545 804,784
423,319 388 715 833 849 998,986
424,358 545 577 749 810 874,854
425,350 522 556 564 767 793,854
426,217 274 641 770 880 965,986
427,434 610 687 712 743 970,854
428,264 844 862 872 882 936,986
429,171 175 242 411 487 686,671
430,398 536 770 894 917 946,986
431,102 133 178 286 423 900,552
432,2 183 282 518 818 929,632
433,439 449 530 637 723 756,986
434,80 170 371 690 739 897,986
435,77 304 322 370 820 941,986
436,82 153 514 637 693 956,854
437,337 389 498 650 693 775,986
438,0 400 493 544 595 763,986
439,43 100 254 450 546 963,632
440,40 242 523 542 627 921,655
441,142 263 358 545 721 735,784
442,539 581 673 850 856 953,986
443,128 435 470 678 683 724,891
444,511 637 640 685 861 877,986
445,407 601 609 666 831 927,986
446,500 516 602 698 750 869,986
447,541 551 696 770 826 931,986
448,174 251 467 774 885 908,986
449,9 86 284 484 818 988,891
450,145 566 578 634 638 685,986
451,329 562 811 828 955 988,891
452,364 388 404 747 835 878,817
453,308 348 397 785 925 936,817
454,59 168 233 291 468 749,784
455,32 251 470 560 632 790,986
456,26 422 515 627 783 809,735
457,66 150 247 515 649 865,689
458,82 175 405 510 585 593,671
459,221 314 482 527 576 985,986
460,62 74 182 378 550 975,986
461,131 224 408 625 814 993,986
462,115 203 269 335 718 867,817
463,88 149 204 392 503 509,632
464,84 454 468 650 723 829,986
465,223 303 487 632 654 709,854
466,135 383 603 666 766 880,986
467,47 114 119 470 802 816,784
468,54 258 437 449 716 771,986
469,12 48 223 564 630 1000,891
470,13 48 634 777 796 866,986
471,0 125 307 609 626 936,986
472,231 369 460 716 735 862,986
473,381 414 594 917 920 938,986
474,55 87 339 506 538 838,891
475,84 190 410 446 491 644,655
476,145 267 480 554 620 646,891
477,336 417 439 990 1002 1003,986
478,252 306 414 479 560 766,854
479,109 341 402 578 826 944,986
480,0 137 242 338 447 907,655
481,180 506 805 806 843 908,891
482,115 198 447 577 603 714,986
483,66 86 116 272 437 885,817
484,16 123 441 502 683 820,714
485,125 290 345 414 442 557,817
486,24 519 523 688 868 948,986
487,1 186 291 678 866 895,854
488,73 342 385 507 624 665,784
489,3 138 188 505 598 863,986
490,208 210 519 528 715 719,784
491,141 389 411 651 765 831,986
492,205 270 312 349 552 853,986
493,162 234 306 445 506 702,891
494,88 234 591 710 800 846,986
495,228 390 414 831 884 988,986
496,99 674 718 804 842 921,891
497,139 290 394 480 666 962,891
498,68 494 522 780 793 841,986
499,214 216 317 408 590 616,755
